INDEX,QCODE,SOURCE,LAYER1,LAYER2,LAYER3,TYPE,CODE1,CODE2,TITLE,QUESTION,INPUT,RESULT,ANSWER,풀이회수,정답회수,오답회수,오답율,EXPLAIN,ANALSYS,1ST,2ND,3rd,4th,5th,6th,7th,8th,9th,10th,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
1,ABANK-0001,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,약관의 종류,일반화재보험은 일반물건과 공장물건에 대해서 보장을 제공한다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,,,,,
2,ABANK-0002,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,약관의 종류,"F.O.C Policy form은 1904년 런던의 Fire Office Commitee에서 전세계 보험시장이 공통적으로 사용할 수 있도록 만들었다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,,,,,
3,ABANK-0003,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,약관의 종류,"화재보험약관의 표준화 작업으로 General Fire Policy form이 만들어 졌으며 1943년 뉴욕에서 이 양식을 채택하였다",O,O,O,10.0,10.0,0,,,,,,,,,,,,,,,,,
4,ABANK-0004,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,약관의 종류,"화재보험의 약관형태에는 FOC POLICY와 GENERAL FIRE POLICY가 있는데 이 두 약관 모두 물건별약관(Per Risk Form)의 형태이다",X,X,X,10.0,9.0,1,,"GENERAL FIRE POLICY는 Schedule Form(조건표형)이다",,,,,,,,,,,,,,,
5,ABANK-0005,인스교재,06재산보험,화재보험,개요,선택형,AA01,AA01,약관의 종류,"화재보험의 종류에 대한 다음 설명 중 옳은 것은?

1) 일반화재보험은 상업용 건물만 보장한다
2) F.O.C Policy는 1905년에 만들어졌다
3) 일반화재보험은 일반물건과 공장물건을 보장한다
4) Fire Insurance Policy는 대규모 기업 전용이다",4,4,4,10.0,10.0,0,,,,,,,,,,,,,,,,,
6,ABANK-0006,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,약관의 종류,일반화재보험약관은 일반물건과 공장물건에 대하여 보장을 제공한다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,,,,,
7,ABANK-0007,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,보상원칙,화재보험은 실손보상원칙이 적용된다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,,,,,
8,ABANK-0008,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,보상원칙,화재보험은 보험의 목적이 전소한 경우 보험가액과 보험금액 중 적은 금액을 지급한다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,,,,,
9,ABANK-0009,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,보상원칙,화재보험에서 손해액이 보험금액을 초과하는 경우에는 보험금액 한도 내에서 손해를 보상하고 나머지는 피보험자가 부담한다.,X,X,X,10.0,9.0,1,,손해액이 보험금액을 초과하는 경우에는 보험금액 전액을 지급한다.,,,,,,,,,,,,,,,
10,ABANK-0010,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,보상원칙,화재보험에서는 일부보험의 경우 비례보상 원칙이 적용된다.,X,X,X,10.0,9.0,1,,화재보험에는 비례보상조건이 적용되지 않는다,,,,,,,,,,,,,,,
11,ABANK-0011,인스교재,06재산보험,화재보험,개요,진위형,AA01,AA01,보상원칙,화재보험의 보험가액은 화재 발생 시점의 재조달가액으로 평가한다.,O,O,O,10.0,10.0,0,,,,,,,,,,,,,,,,,
